"filename", "language", "JavaScript", "JSON", "Markdown", "YAML", "JavaScript React", "SCSS", "HTML", "XML", "CSS", "Less", "comment", "blank", "total"
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/assets/qr-code.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/assets/styles/airui/import/colors.scss", "SCSS", 0, 0, 0, 0, 0, 202, 0, 0, 0, 0, 6, 7, 215
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/assets/styles/airui/import/core.scss", "SCSS", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 2, 10, 65
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/assets/styles/airui/import/layout.scss", "SCSS", 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 10, 15, 85
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/assets/styles/airui/import/measurements.scss", "SCSS", 0, 0, 0, 0, 0, 154, 0, 0, 0, 0, 5, 6, 165
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/assets/styles/airui/import/router.scss", "SCSS", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 4, 20, 92
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/assets/styles/airui/import/utils.scss", "SCSS", 0, 0, 0, 0, 0, 652, 0, 0, 0, 0, 17, 67, 736
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/assets/styles/airui/style.scss", "SCSS", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/assets/styles/antd/import/backtop.scss", "SCSS", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 3, 5, 20
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/assets/styles/antd/import/badge.scss", "SCSS", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 3, 3, 10
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/assets/styles/antd/import/calendar.scss", "SCSS", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 3, 9, 44
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/assets/styles/antd/import/cascader.scss", "SCSS", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 3, 3, 10
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/assets/styles/antd/import/dropdown.scss", "SCSS", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 3, 9, 41
